Sr No.,Name,Brisque,p=0.1 & q = 0.9,p=0.2 & q = 0.8,p=0.3 & q = 0.7,p=0.4 & q = 0.6
1,1.jpg,33.97321781360219,26.9189030603645,26.631552846631138,26.46554103482012,26.52589702492307
2,10.jpg,47.027943091418905,33.42435129726695,33.31447690174909,33.296002362848725,33.04738551962586
3,100.jpg,14.128945975970367,9.428841109829449,9.629421167401887,9.639491024666626,9.784422063314167
4,101.jpg,44.39869009574406,34.11432768530628,34.05974067609063,34.06804633301496,34.0871735636168
5,102.jpg,30.978879491025594,27.040188351148885,26.736889756197428,26.233869044140505,26.45406187653927
6,103.jpg,36.205356844209945,31.52546955060174,31.287324844975927,30.77687331913964,30.987451172364302
7,104.jpg,26.75816151911974,24.295808569983564,24.0656925602336,23.966940571698018,24.01984295584404
8,105.jpg,33.13132938380872,30.623467182161193,30.32841144696701,30.17345703850353,30.020145442313122
9,106.jpg,32.75407414345452,30.415935661478187,29.896072699489622,29.942869275503057,29.773623894512156
10,107.jpg,8.839927220017074,6.164389566891117,5.90520168138525,6.0421865363184395,5.743225841721227
11,108.jpg,36.87907382589796,29.860495173626163,29.64284917895938,29.867987476133038,29.473544588506996
12,109.jpg,36.38497377801454,29.583436020296602,29.45978420026549,28.901288655159846,28.982832696111103
13,11.jpg,45.88308615790581,33.167777767621004,32.96772391992258,33.06013667878514,32.77674923614572
14,110.jpg,39.767512731563755,32.644364219020844,32.850808485159945,33.18419061190295,33.655940787466506
15,111.jpg,31.486246393689015,28.11384478030672,27.760508287764054,27.786292141496432,27.67761894225893
16,112.jpg,33.85865096815982,27.410559347003385,27.223882257250324,26.982304567925752,27.01941883186302
17,113.jpg,34.33011315698556,28.405085932507035,28.613709787813917,28.79401401739196,29.19109702691341
18,114.jpg,37.3025301514069,31.674831626992926,31.343412257159315,31.34714515780226,31.22047481551246
19,115.jpg,41.40182574727109,36.14819324852485,35.71926186284904,35.19380575921966,35.411693520674675
20,116.jpg,12.25333712330061,7.23406509222761,7.254003748434087,7.244299994379702,7.266189277221287
21,117.jpg,18.15935736763285,11.009276258833069,11.013132086480113,10.792769161026143,11.044891786633883
22,118.jpg,59.26037032732242,47.71482935876347,48.245787042942055,48.8494849527992,49.80692009311437
23,119.jpg,39.562172708141105,31.53097303104559,31.520739562502143,31.779151010349523,31.989212113352522
24,12.jpg,46.50723637022699,32.71254481421917,32.65848524116845,32.69444409478294,32.37170070402132
25,120.jpg,31.003460186908086,25.952547995806384,25.767951162271032,25.499915680815405,25.080530789156768
26,121.jpg,32.57453585504274,26.22056199837013,25.720118703672114,25.63818276719948,25.579284305664345
27,122.jpg,31.77072159670817,26.889119512929454,26.53712894013276,26.37658914507412,25.98273149270389
28,123.jpg,34.9103641857117,27.719706980641234,27.39256410979587,27.059802169653693,27.10818794713029
29,124.jpg,37.03228192291496,30.385702658338204,30.505618678214745,30.636932109774165,30.846267226573644
30,125.jpg,30.542280303326237,26.235953537666404,26.23653371180407,26.478554930681952,26.539249758705267
31,126.jpg,34.372997793460485,28.959665930687805,28.763091179586553,28.518341734413838,28.63190619712097
32,127.jpg,17.364702599590117,8.03130601033476,7.9320209625380755,8.171553244457272,7.879206906015128
33,128.jpg,34.295401694585934,22.391259996649836,22.348399747196453,22.507516262977532,22.440804081828304
34,129.jpg,36.8872480819617,31.413179074866974,31.196859636304765,30.913724889977942,31.22795580524732
35,13.jpg,40.85138744968978,27.913163027565105,27.926517902957556,27.874752514196842,27.832231593345995
36,130.jpg,36.113789374166316,29.899370612045544,29.982575537573183,29.98925646843358,30.110062826309075
37,131.jpg,31.088768546777686,25.19816790492891,25.08502441011646,24.896102315722345,25.416497554695155
